,nombre_autor,username_autor,texto_tw,id_tw,id_autor,fecha_creacion,num_retw,num_contestacion,num_likes,num_menciones
29,Gemma R.B.,GemmaRBar,@MujeresaSeguir @Globant @TheBridge_Tech Apuntado en la agenda 👌,1517121644682256385,1360217897008791554,2022-04-21 12:42:41+00:00,0,0,0,0
30,ITEP Formación,itep_es,"📢Como ya sabéis, antes de #SemanaSanta, nuestro alumnado de la #FPinformática💻 visitaron @TheBridge_Tech. Gracias a su trato hacia #ITEP🔵 y su colaboración os ofrecemos nuevas imágenes de esa actividad‼️ En ellas queda patente el interés de la cita 👌🏻 https://t.co/nt0LFYitDB",1517103356346617856,220072811,2022-04-21 11:30:01+00:00,1,0,4,1
31,Maï R. Entem 👩‍💻🇪🇦🇨🇵🇪🇺🇸🇬🌍🚣‍♀️,mrentem,@TheBridge_Tech Otro de los placeres de haber pasado unos meses en esas aulas!! 😉👩🏻‍💻,1516740060346929153,91124440,2022-04-20 11:26:24+00:00,0,0,1,0
32,Alice Silver 🏳️‍🌈,alicesilverpol,"Actualmente acoge las oficinas de The Bridge, una aceleradora de talento digital
📷 @TheBridge_Tech https://t.co/xgWzxnqdOI",1516642121729679362,67597387,2022-04-20 04:57:14+00:00,0,1,8,0
33,JM,jmnavarro,@bertinha84 @TheBridge_Tech 👏🏻👏🏻👏🏻  🙌🏻,1516505700595388430,16512007,2022-04-19 19:55:08+00:00,0,0,1,0
34,Berta Otero,bertinha84,@AndreaMaganRey @TheBridge_Tech https://t.co/fpGUkYnGX4,1516070347854028804,604485175,2022-04-18 15:05:12+00:00,0,0,1,0
35,Andrea,AndreaMaganRey,@bertinha84 @TheBridge_Tech A por ello @bertinha84 https://t.co/tz445Lv3mV,1516067228344533003,397537147,2022-04-18 14:52:49+00:00,0,1,1,0
36,Berta Otero,bertinha84,@alinnfm @TheBridge_Tech https://t.co/0IWmJ42wab,1516048336477995008,604485175,2022-04-18 13:37:44+00:00,0,0,0,0
37,ali,alinnfm,"@bertinha84 @TheBridge_Tech ¡¡Que emoción!! 🤗
Todo lo bueno del mundo para ti en esta etapa 🏆",1516044530348347394,3063927221,2022-04-18 13:22:37+00:00,0,1,1,0
38,The Bridge,TheBridge_Tech,@bertinha84 Ese nudo es presagio de algo bueno 😆¡Bienvenida a @TheBridge_Tech ! Muchas horas de #UXUI te esperan 🙌 ¡sin miedo!,1515970019733258247,1162694149956603904,2022-04-18 08:26:32+00:00,0,0,1,0
39,Berta Otero,bertinha84,"@marcosDLCS @TheBridge_Tech Lo haré, gracias Marcos 🙂",1515945939508375556,604485175,2022-04-18 06:50:51+00:00,0,0,0,0
40,Marcos de la Calle,marcosDLCS,"@bertinha84 @TheBridge_Tech Mucha suerte en la nueva aventura.

¡No olvides compartir tu camino y tus experiencias! 

Seguro que son de utilidad para la comunidad.

💪",1515944204127645701,147003255,2022-04-18 06:43:57+00:00,0,1,1,0
41,Berta Otero,bertinha84,Hoy empiezo en un ratito mi camino en el Ux/ui de la mano de @TheBridge_Tech en su bootcamp. Tengo un nudo enorme en el estómago y todas las ganas de aprender. A por todas voy!,1515933948001632256,604485175,2022-04-18 06:03:12+00:00,1,5,6,1
42,Adalab,Adalab_Digital,"@manufosela @4GeeksAcademyES @CodenotchMAD @socratech_ @TheBridge_Tech @ITAcademy @nebulova_es 🏁 Felicidades a todos lxs participantes y mención especial a esa selección de programadores/as que va a tener la oportunidad de ""mejorar su conducción"" gracias a esta iniciativa de @kairos_ds 
🙏🏻 Darte/daros las gracias por apostar siempre por el #TalentoJunior y la #Diversidad.",1514204427019767808,761153947990097920,2022-04-13 11:30:42+00:00,0,0,4,0
43,Codenotch,CodenotchMAD,"@manufosela @Adalab_Digital @4GeeksAcademyES @socratech_ @TheBridge_Tech @ITAcademy @nebulova_es Muy orgullosos de nuestros Top Notch Coders🚀
Mucho ánimo a esa 6ª #GeneracionK  de 
@kairos_ds con todo lo nuevo👏",1513867656180477953,1026530062923968513,2022-04-12 13:12:30+00:00,0,0,0,0
44,Mánu Fosela,manufosela,"De los 21, hay 7 desarrolladoras de @Adalab_Digital, 4 de @4GeeksAcademyES, 2 de @CodenotchMAD, 1 de @socratech_ , 1 de @TheBridge_Tech, 1 de @ITAcademy, 1 de @nebulova_es y de FP-DAW y autodidactas.",1513848281801056258,1609031,2022-04-12 11:55:30+00:00,3,3,12,0
45,BURN España 🔥,burn_es,"Nos han contado que en @TheBridge_Tech se lo curran mucho... Hemos colado algún que otro BURN, ¿os viene bien una ayudita de energía? 🔋🔥",1512007299187027971,227327854,2022-04-07 10:00:06+00:00,1,1,6,0
46,Bea Jimenez,beajmnz,@TheBridge_Tech ¡A vuestra disposición! ¡Muchas gracias!,1511633207061630980,127000294,2022-04-06 09:13:36+00:00,0,0,0,0
47,Raúl Cotrina,raulcotrina,@assemblerinstit @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Hola. Lo tenemos en formato Json en Git. https://t.co/x2dnE2VFAB Podéis hacer un PR ;),1511329612260950019,41110484,2022-04-05 13:07:13+00:00,0,0,3,0
48,Assembler Institute of Technology,assemblerinstit,"@raulcotrina @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Muy buenas Raúl, nos parece una idea increíble. ¿Me dices donde te pasamos la información de los cursos que tenemos actualmente?",1511328611755827200,1102950803843751936,2022-04-05 13:03:14+00:00,0,1,0,0
49,Raúl Cotrina,raulcotrina,CC @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @assemblerinstit @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5,1511247995794251786,41110484,2022-04-05 07:42:54+00:00,1,2,2,0
50,TheFringe/LABS,TheFringeLABS,Hemos colaborado con @TheBridge_Tech aportando el proyecto final de los alumnos para el Desafío de Tripulaciones y premiando a los 3 grupos con una donación para la ONG de su elección. Increíbles resultados en tiempo récord🤩 #apoyamoseltalentotech https://t.co/vJ5HdV6gSN https://t.co/LpSUpFtdfp,1509126320386715655,1402182570314539009,2022-03-30 11:12:07+00:00,1,0,4,0
51,vocentoEventos,vocentoeventos,"Seguimos con la 2mesa #ForoVocentoEducación: Formación para el futuro y las nuevas profesionales que vienen. Participan:
▪️ @JuanJoseJuarez @FBertelsmann
▪️ @mortizcotro @FundCreate
▪️ Iker Arce @TheBridge_Tech
▪️ Gabriel Masfurroll @UABBarcelona
🔴DIRECTO https://t.co/8xxFlqVpCP https://t.co/3qAkFVQ9bs",1509101924699803650,1197839987867373568,2022-03-30 09:35:11+00:00,2,0,8,1
52,Kreab España,KreabEspana,"Nuestro Partner @asanjoseperez modera el segundo coloquio sobre la importancia de la formación para el futuro y las nuevas profesiones. Expertos de la @UABBarcelona, @e_bertelsmann, @FundCreate, @TheBridge_Tech dan su visión sobre la formación profesional #ForoVocentoEducación https://t.co/mPMT0mlkWU",1509100185493950470,491498207,2022-03-30 09:28:16+00:00,3,1,7,0
53,vocentoEventos,vocentoeventos,"2⃣ FORMACIÓN PARA EL FUTURO Y LAS NUEVAS PROFESIONES QUE VIENEN
▪️ @JuanJoseJuarez (@FBertelsmann)
▪️ @mortizcotro (@FundCreate)
▪️ Iker Arce (@TheBridge_Tech)
▪️ Gabriel Masfurroll (@UABBarcelona)
Modera: Antonio San José (@asanjoseperez) (@KreabEspana) 
#ForoVocentoEducación https://t.co/kMY2q5gEZE",1508843117000249345,1197839987867373568,2022-03-29 16:26:46+00:00,1,1,3,0
